ID,Age,Gender,Country,Education,Income,Online_Consumer,AI_Endorsement,AI_Satisfication,AI_Tools_Used _Chatbots,AI_Tools_Used_Virtual_Assistant,AI_Tools_Used_Voice&Photo_Search,Payment_Method_Credit/Debit,Payment_Method_COD,Payment_Method_Ewallet,Product_Category_Appliances,Product_Category_Electronics,Product_Category_Groceries,Product_Category_Personal_Care,Product_Category_Clothing
62,35-44,Female,Libya,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
63,18-24,Male,Sudan,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
64,55-64,Female,Chad,Bachelor's,25000-50000,YES,YES,Satisfied,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO
65,25-34,Male,Niger,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
66,35-44,Female,Mali,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
67,18-24,Male,Burkina Faso,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
68,45-54,Female,Senegal,Bachelor's,50000-75000,YES,YES,Satisfied,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO
69,25-34,Male,Guinea,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
70,35-44,Female,Sierra Leone,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
71,18-24,Male,Liberia,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
72,55-64,Female,Ivory Coast,Bachelor's,25000-50000,YES,YES,Satisfied,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO
73,25-34,Male,Togo,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
74,35-44,Female,Benin,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
75,18-24,Male,Cameroon,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
76,45-54,Female,Central African Republic,Bachelor's,50000-75000,YES,YES,Satisfied,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO
77,25-34,Male,Equatorial Guinea,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
78,35-44,Female,Gabon,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
79,18-24,Male,Congo,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
80,55-64,Female,DR Congo,Bachelor's,25000-50000,YES,YES,Satisfied,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO
81,25-34,Male,Angola,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
82,35-44,Female,Zambia,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
83,18-24,Male,Zimbabwe,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
84,45-54,Female,Botswana,Bachelor's,50000-75000,YES,YES,Satisfied,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO
85,25-34,Male,Namibia,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
86,35-44,Female,Lesotho,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
87,18-24,Male,Eswatini,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
88,55-64,Female,Madagascar,Bachelor's,25000-50000,YES,YES,Satisfied,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO
89,25-34,Male,Mauritius,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
90,35-44,Female,Seychelles,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
91,18-24,Male,Comoros,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
92,45-54,Female,Djibouti,Bachelor's,50000-75000,YES,YES,Satisfied,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO
93,25-34,Male,Somalia,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
94,35-44,Female,Eritrea,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
95,18-24,Male,Israel,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
96,55-64,Female,Lebanon,Bachelor's,50000-75000,YES,YES,Satisfied,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO
97,25-34,Male,Syria,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
98,35-44,Female,Jordan,Bachelor's,50000-75000,YES,YES,Satisfied,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO
99,18-24,Male,Iraq,High School,25000-50000,YES,NO,Not Satisfied,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
100,45-54,Female,Iran,Bachelor's,50000-75000,YES,YES,Satisfied,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO 
